matric_number,full_name,department,level,gender,date_of_birth,state_of_origin,gpa,score_maths,score_english,fees_paid,outstanding_fees,hostel,scholarship,phone,legacy_field
FP/2021/94157,ibrahim dan-asabe,Civil Engineering,ND1,MALE,2001-10-24,Delta,3.4,45,1,94334.86,10063.01,Block C,Private,08041408998,
FP/2021/63359,ALIYU MUSA,Electrical Engineering,HND2,M,2002-03-11,Edo,4.91,82,11,54744.75,18000.0,,Private,08073568481,
FP/2021/21526,ALIYU MUSA,Mass Communication,ND1,MALE,1999-07-25,Delta,4.29,44,67,71814.85,67054.57,,,08075934068,
FP/2021/95400,ALIYU MUSA,Mass Communication,ND2,M,2002-09-21,Rivers,2.91,14,50,50408.96,94071.68,Block B,,08089026243,
FP/2021/48612,Emeka Okoye,Business Admin,ND2,M,1999-04-28,Edo,3.12,43,32,149907.55,,Block C,Federal Govt,08098437133,
FP/2021/22321,ibrahim dan-asabe,Business Admin,ND1,Male,2001-03-11,Delta,4.48,96,3,97902.76,98990.53,Block A,State Govt,08099398743,
FP/2021/71800,CHIOMA NNAJI,Accountancy,ND1,M,1997-09-23,Kano,,53,47,183739.08,118031.37,Block C,Federal Govt,08062175068,
FP/2021/99113,ALIYU MUSA,Electrical Engineering,HND2,M,1998-04-10,Oyo,3.83,95,87,133103.53,26718.21,Off Campus,,08090542343,
FP/2021/77875,segun adeyemi,Electrical Engineering,HND1,M,2002-03-30,Edo,4.54,85,56,78097.72,72683.0,,None,08011649270,
FP/2021/24753,ALIYU MUSA,Nutrition,HND1,Male,1998-03-23,Kano,3.41,15,12,,,Block C,,08032431554,
FP/2021/30108,ALIYU MUSA,Mass Communication,HND2,MALE,1997-09-09,Abuja,1.3,13,49,165145.78,122745.64,Block A,State Govt,08077852563,
FP/2021/57077,CHIOMA NNAJI,Civil Engineering,HND2,Female,1999-02-15,Rivers,1.84,45,25,117453.52,104845.61,Off Campus,,08076583757,
FP/2021/52235,Emeka Okoye,Business Admin,HND1,FEMALE,2000-07-06,Delta,2.05,37,81,,13881.66,Block B,None,08076653826,
FP/2021/22888,segun adeyemi,Nutrition,ND2,Male,2000-03-05,Kano,3.79,8,30,102884.03,133238.08,Off Campus,None,08061644651,
FP/2021/93764,Aisha Bello,Computer Science,HND1,Male,1999-04-09,Enugu,2.63,88,81,175395.23,118805.6,Block C,None,08083254833,
FP/2021/95510,GRACE PETER,Business Admin,HND2,MALE,1999-06-14,Abuja,1.7,47,63,142025.19,,Block C,State Govt,08076500107,
FP/2021/84685,GRACE PETER,Electrical Engineering,ND2,Male,1999-12-03,Delta,2.59,13,81,85325.39,11899.14,Block A,None,08074509742,
FP/2021/90530,GRACE PETER,Computer Science,HND1,M,2000-09-18,Delta,1.69,60,68,136853.94,35755.65,Off Campus,State Govt,08042402574,
FP/2021/25375,segun adeyemi,Nutrition,HND2,FEMALE,1999-07-07,Rivers,2.27,4,37,145248.72,48228.67,,,08060554701,
FP/2021/94002,Aisha Bello,Civil Engineering,HND2,F,2001-10-09,Delta,3.12,81,27,78410.35,125741.44,Off Campus,Federal Govt,08095209526,
FP/2021/58502,Aisha Bello,Nutrition,ND1,MALE,1999-07-25,Oyo,2.02,63,14,,83568.04,,,08040627122,
FP/2021/84989,segun adeyemi,Nutrition,HND1,F,1998-09-15,Delta,3.91,22,35,167291.58,115280.11,Block C,Private,08017941728,
FP/2021/99378,Aisha Bello,Mass Communication,ND2,MALE,1999-05-06,Lagos,1.75,62,84,114478.59,48821.8,,Private,08010941654,
FP/2021/27902,GRACE PETER,Computer Science,HND1,Female,2002-04-17,Edo,2.36,59,80,92292.2,,Block A,State Govt,08083760602,
FP/2021/27674,Aisha Bello,Nutrition,ND2,F,2002-07-25,Lagos,4.9,18,16,153203.19,5505.4,Block A,State Govt,08014431984,
FP/2021/67921,CHIOMA NNAJI,Mass Communication,ND1,MALE,1998-08-25,Delta,4.82,26,21,116252.59,133694.47,Off Campus,Federal Govt,08027864312,
FP/2021/47585,ibrahim dan-asabe,Nutrition,HND2,Male,1998-04-10,Oyo,1.61,40,96,91535.32,,Block C,Private,08087446866,
FP/2021/45498,CHIOMA NNAJI,Electrical Engineering,ND1,M,2002-04-13,Abuja,1.51,0,47,62099.0,134163.1,Off Campus,State Govt,08083554430,
FP/2021/75511,ALIYU MUSA,Computer Science,ND1,FEMALE,1997-01-06,Rivers,1.81,71,90,114191.54,130579.26,Off Campus,Private,08069784091,
FP/2021/73708,ibrahim dan-asabe,Civil Engineering,HND1,M,1999-03-23,Enugu,2.86,20,87,,60601.68,Off Campus,,08039224804,
FP/2021/70778,GRACE PETER,Electrical Engineering,HND1,Female,2002-01-23,Delta,2.97,94,34,190780.34,70247.13,Block C,Federal Govt,08015433788,
FP/2021/98428,ibrahim dan-asabe,Business Admin,ND1,Male,2000-08-14,Lagos,2.65,13,90,142216.23,28013.46,Block C,Private,08064107653,
FP/2021/35577,CHIOMA NNAJI,Computer Science,HND2,Male,2000-10-29,Abuja,2.97,2,26,141138.98,124150.26,Block A,,08098174390,
FP/2021/97847,ibrahim dan-asabe,Computer Science,HND2,FEMALE,1999-11-02,Abuja,4.09,54,48,123953.89,80258.16,Block B,Federal Govt,08073542271,
FP/2021/42078,GRACE PETER,Computer Science,HND1,Female,2002-05-03,Delta,1.83,90,90,199349.27,92202.91,Block B,None,08029788385,
FP/2021/52400,Aisha Bello,Electrical Engineering,ND2,M,2002-10-04,Kano,4.42,23,46,173234.87,133864.74,Block C,Federal Govt,08052706560,
FP/2021/18553,GRACE PETER,Business Admin,HND1,F,2001-10-16,Lagos,3.16,65,73,178443.67,4589.88,Block A,Federal Govt,08059350070,
FP/2021/39857,segun adeyemi,Nutrition,ND2,Male,1998-09-10,Abuja,3.57,92,68,68733.66,39700.63,Block A,None,08020769829,
FP/2021/99344,segun adeyemi,Electrical Engineering,HND1,FEMALE,2000-09-21,Rivers,1.81,50,43,53644.54,45560.49,,None,08010549297,
FP/2021/48272,ibrahim dan-asabe,Business Admin,ND1,MALE,2001-02-18,Delta,2.5,27,58,89517.36,129115.28,Block B,None,08061354847,
FP/2021/82217,GRACE PETER,Statistics,HND1,FEMALE,2002-12-26,Enugu,3.86,-2,60,181796.99,41915.54,,None,08043956104,
FP/2021/57400,ibrahim dan-asabe,Nutrition,ND2,F,1998-01-15,Oyo,1.2,74,3,156550.66,,Block B,None,08099697710,
FP/2021/31742,segun adeyemi,Statistics,HND1,MALE,2000-07-07,Edo,4.88,71,96,187495.51,17557.54,Block A,State Govt,08096120553,
FP/2021/84075,Aisha Bello,Accountancy,HND2,Female,2002-11-08,Rivers,,75,25,193198.4,55383.28,Block B,Private,08065683476,
FP/2021/66752,GRACE PETER,Civil Engineering,ND1,FEMALE,2002-03-23,Oyo,2.8,54,7,80103.82,96412.4,Off Campus,Federal Govt,08031150985,
FP/2021/32282,GRACE PETER,Accountancy,ND1,FEMALE,2000-12-16,Kano,3.52,97,37,189478.04,2111.1,Off Campus,Federal Govt,08011782009,
FP/2021/91020,ibrahim dan-asabe,Mass Communication,HND1,M,2001-08-11,Abuja,3.76,34,2,175410.2,125052.85,,None,08091286321,
FP/2021/44666,Emeka Okoye,Business Admin,ND1,MALE,2000-01-01,Lagos,4.32,69,26,175217.31,113505.14,Block B,Federal Govt,08091387295,
FP/2021/44789,Emeka Okoye,Business Admin,ND2,FEMALE,1999-09-27,Abuja,2.47,60,18,,7292.05,Block B,Federal Govt,08061743054,
FP/2021/73256,segun adeyemi,Computer Science,ND2,Male,2000-10-23,Enugu,1.06,64,82,156127.34,72960.82,Block A,Private,08065943418,
FP/2021/24317,Emeka Okoye,Business Admin,HND1,MALE,1999-07-08,Rivers,2.71,88,98,72466.24,149741.94,Block B,Private,08064567845,
FP/2021/53913,Emeka Okoye,Accountancy,HND1,Female,2001-12-29,Enugu,4.54,44,40,124181.75,110210.52,Block A,,08091838364,
FP/2021/29293,GRACE PETER,Accountancy,ND2,F,2002-12-05,Lagos,1.53,-4,67,83610.21,,Block A,None,08024192433,
FP/2021/18026,CHIOMA NNAJI,Civil Engineering,ND1,Male,2002-02-03,Delta,3.48,39,13,192104.4,81722.09,Block C,,08021274328,
FP/2021/32274,ibrahim dan-asabe,Business Admin,ND1,Male,1999-01-13,Edo,,47,64,126869.09,10818.69,Block C,,08012338782,
FP/2021/78152,Aisha Bello,Electrical Engineering,HND2,F,1998-03-20,Rivers,2.39,3,30,,97773.93,Block B,None,08027390602,
FP/2021/53788,GRACE PETER,Mass Communication,HND1,FEMALE,2002-12-24,Enugu,3.13,88,22,160721.75,4319.87,Block C,State Govt,08095468367,
FP/2021/84394,ALIYU MUSA,Nutrition,HND1,Female,2001-03-09,Rivers,2.17,74,11,52989.88,107595.32,Block C,Private,08045269858,
FP/2021/90708,ALIYU MUSA,Computer Science,HND1,M,1999-02-27,Lagos,1.28,92,97,88381.21,77889.79,,Federal Govt,08071082699,
FP/2021/91098,GRACE PETER,Accountancy,ND1,F,1997-11-03,Rivers,,37,43,155899.02,8215.6,Block B,Federal Govt,08035771865,
FP/2021/99238,GRACE PETER,Electrical Engineering,HND1,F,2002-11-13,Lagos,2.23,36,75,96829.33,107072.43,,,08096110580,
FP/2021/72642,GRACE PETER,Electrical Engineering,HND1,Female,2002-11-28,Enugu,1.87,46,45,147044.0,47352.77,Off Campus,State Govt,08071562168,
FP/2021/59214,ibrahim dan-asabe,Statistics,HND2,Female,2002-06-24,Delta,4.29,18,75,153113.02,149412.45,Off Campus,Federal Govt,08077848337,
FP/2021/16756,GRACE PETER,Civil Engineering,HND1,F,1999-10-28,Edo,1.39,34,35,62743.57,135207.49,Block B,,08072452490,
FP/2021/98356,Aisha Bello,Mass Communication,ND1,F,1999-03-23,Enugu,4.77,61,33,139054.65,19512.59,Block C,State Govt,08051047789,
FP/2021/39913,segun adeyemi,Nutrition,ND1,FEMALE,1997-07-24,Lagos,2.15,78,21,153692.71,20808.62,,Private,08029598647,
FP/2021/92027,Aisha Bello,Statistics,HND2,MALE,2002-12-19,Oyo,3.82,90,8,77988.43,80603.71,Block C,None,08082999474,
FP/2021/15966,Emeka Okoye,Accountancy,ND1,M,1997-09-12,Kano,4.32,36,7,166900.63,,,,08012203826,
FP/2021/73796,CHIOMA NNAJI,Business Admin,ND2,FEMALE,1999-01-03,Enugu,1.11,18,15,64685.02,88552.43,Off Campus,Federal Govt,08019502050,
FP/2021/21979,CHIOMA NNAJI,Accountancy,ND2,F,1999-11-17,Rivers,1.82,6,94,,130048.1,,State Govt,08028091205,
FP/2021/32748,segun adeyemi,Civil Engineering,HND2,Female,1997-04-30,Rivers,4.03,86,17,127349.98,117821.89,Block C,State Govt,08037580579,
FP/2021/57442,GRACE PETER,Computer Science,HND2,Male,2001-11-25,Edo,1.98,13,80,102323.07,63879.2,Off Campus,,08042487925,
FP/2021/16647,ALIYU MUSA,Nutrition,ND1,FEMALE,2000-01-16,Kano,4.64,12,8,94741.36,24969.2,,Federal Govt,08063130566,
FP/2021/97945,Emeka Okoye,Statistics,ND1,MALE,2001-03-16,Lagos,,61,68,103123.37,21907.65,Block C,Federal Govt,08086350418,
FP/2021/55650,Aisha Bello,Electrical Engineering,ND2,Male,2002-02-11,Rivers,4.08,22,46,50698.93,63816.45,Block B,State Govt,08053315645,
FP/2021/66129,Aisha Bello,Nutrition,HND1,Female,1997-04-23,Oyo,4.22,84,98,69586.16,40561.7,Block C,None,08039103283,
FP/2021/53190,ALIYU MUSA,Accountancy,HND2,Female,1999-10-13,Kano,1.94,83,92,157445.73,126780.73,Off Campus,Federal Govt,08051819466,
